"Benchmark","Mode","Threads","Samples","Score","Score Error (90.0%)","Relative Score Error (90.0%)","Score Error (95.0%)","Relative Score Error (95.0%)","Score Error (99.9%)","Relative Score Error (99.9%)","Median Score","Median Absolute Deviation","Relative Median Absolute Deviation","Unit","Param: dataType","Param: multimapValueSize","Param: producer","Param: run","Param: sampleDataSelection","Param: size","Param: stepSizeOneToOneSelector","Param: valueFactoryFactory"
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,13.664875,0.090537,0.006625,0.111727,0.008176,0.236127,0.017280,13.599571,0.036494,0.002683,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,1,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,16.280090,0.090316,0.005548,0.111455,0.006846,0.235552,0.014469,16.322123,0.117916,0.007224,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,1,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,13.745100,0.096944,0.007053,0.119634,0.008704,0.252838,0.018395,13.744299,0.166548,0.012118,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,2,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,16.205789,0.075596,0.004665,0.093289,0.005757,0.197160,0.012166,16.146693,0.005002,0.000310,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,2,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,14.048641,0.189131,0.013463,0.233397,0.016614,0.493269,0.035111,14.087954,0.278447,0.019765,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,4,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,16.230827,0.093106,0.005736,0.114898,0.007079,0.242829,0.014961,16.174028,0.072281,0.004469,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,4,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,13.890653,0.188481,0.013569,0.232595,0.016745,0.491574,0.035389,13.808774,0.246938,0.017883,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,8,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,16.169692,0.054717,0.003384,0.067524,0.004176,0.142708,0.008826,16.153638,0.069087,0.004277,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,8,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,17.638545,0.403051,0.022851,0.497386,0.028199,1.051191,0.059596,17.175912,0.134277,0.007818,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,16,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKey","avgt",1,10,18.793411,0.094875,0.005048,0.117081,0.006230,0.247442,0.013166,18.732327,0.078154,0.004172,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,16,1,VF_CHAMP_MULTIMAP_HHAMT
